ref_id,pred_id,matched,iou,boundary_rmse_m,hausdorff_m,centroid_disp_m,area_ref_m2,area_pred_m2,area_error_m2,area_error_pct,perimeter_ref_m,perimeter_pred_m,mean_angle_dev_deg,compliance_tier,error_flags
274,274,True,0.8258,0.412,0.566,0.074,128.07,105.77,-22.30,-17.41,57.36,54.16,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
276,276,True,0.8424,0.412,0.566,0.084,124.56,104.92,-19.64,-15.77,50.69,47.49,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
277,277,True,0.8302,0.406,0.566,0.165,122.76,101.91,-20.85,-16.98,53.73,50.53,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
278,278,True,0.8210,0.412,0.566,0.066,121.77,99.97,-21.80,-17.90,56.10,52.90,0.01,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
281,281,True,0.8396,0.409,0.566,0.093,120.62,101.27,-19.35,-16.04,49.96,46.76,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
282,282,True,0.7493,0.444,1.600,0.158,115.83,86.79,-29.04,-25.07,74.25,68.75,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
284,284,True,0.8344,0.410,0.566,0.039,109.86,91.66,-18.20,-16.57,47.10,43.90,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
285,285,True,0.8231,0.408,0.566,0.182,109.56,90.17,-19.39,-17.70,50.06,46.86,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
289,289,True,0.8211,0.411,0.566,0.077,104.12,85.49,-18.63,-17.89,48.16,44.96,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
292,292,True,0.7944,0.533,2.167,0.166,96.35,76.54,-19.81,-20.56,50.56,42.92,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
293,293,True,0.8042,0.415,0.566,0.050,96.14,77.32,-18.82,-19.58,48.65,45.45,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
296,296,True,0.7749,0.413,0.566,0.180,91.41,70.83,-20.58,-22.51,53.03,49.83,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
297,297,True,0.8136,0.412,0.566,0.038,90.76,73.84,-16.92,-18.64,43.90,40.70,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
298,298,True,0.8036,0.406,0.566,0.057,87.54,70.35,-17.19,-19.64,44.57,41.37,0.03,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
299,299,True,0.8144,0.412,0.566,0.024,86.62,70.55,-16.07,-18.55,41.79,38.59,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
300,300,True,0.8248,0.406,0.566,0.029,82.78,68.28,-14.50,-17.52,37.86,34.66,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
301,301,True,0.7585,0.411,0.566,0.174,76.33,57.90,-18.43,-24.15,47.67,44.47,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
303,303,True,0.7871,0.408,0.566,0.048,67.33,52.99,-14.34,-21.30,37.44,34.24,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
304,304,True,0.7813,0.410,0.566,0.045,66.12,51.66,-14.46,-21.87,37.75,34.55,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
305,305,True,0.7977,0.408,0.566,0.031,66.03,52.67,-13.36,-20.23,35.00,31.80,0.04,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
307,307,True,0.7570,0.410,0.566,0.205,61.03,46.20,-14.83,-24.30,38.67,35.47,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
310,310,True,0.6506,0.415,0.566,0.327,49.70,32.34,-17.36,-34.93,44.75,42.07,8.50,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
311,311,True,0.7531,0.409,0.566,0.046,48.00,36.15,-11.85,-24.69,31.23,28.03,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
316,316,True,0.6988,0.411,0.566,0.060,41.40,28.93,-12.47,-30.12,32.78,29.58,0.00,REJECT,"ERORE_CONTUR_MARE;ERORE_ARIE_MARE"
