fp_id,area_m2,mean_height_m,max_height_m,osm_matched,osm_id,osm_tag,osm_name,osm_iou,osm_overlap_pct,category_estimated,description
118,399.51,5.1,11.7,True,1190231011,house,,0.5244,88.2,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=1190231011, tag=house)"
121,394.93,5.8,10.8,True,586400666,roof,,0.2918,82.7,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=586400666, tag=roof)"
127,381.09,13.8,15.6,True,701516655,apartments,,0.5912,76.5,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=701516655, tag=apartments)"
129,380.69,8.5,12.4,True,275159825,yes,,0.4617,81.0,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=275159825, tag=yes)"
130,380.4,6.0,9.3,True,276735726,house,,0.2942,89.6,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=276735726, tag=house)"
140,363.58,5.2,9.1,True,276735505,house,,0.7714,94.9,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=276735505, tag=house)"
141,359.11,14.45,18.0,True,258636072,university,Institutul de Științele Vieții,0.2594,93.3,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=258636072, tag=university)"
142,350.98,17.8,19.0,True,260081500,yes,Biblioteca,0.2716,99.7,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=260081500, tag=yes)"
145,349.13,5.4,10.3,True,310374404,residential,,0.4238,96.3,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=310374404, tag=residential)"
147,339.24,5.3,7.4,True,1075024429,apartments,,0.3247,52.5,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=1075024429, tag=apartments)"
158,304.67,6.3,10.6,True,316635671,house,,0.418,83.8,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=316635671, tag=house)"
161,297.9,7.3,16.6,False,NONE,,,0.0,0.0,CLADIRE_POTENTIALA_SAU_VEGETATIE_DENSA,"Corp izolat în campus/curte (297.9 mp, H=7.3m)"
164,294.03,8.9,17.3,True,275159864,university,Departamentul pentru pregătirea personalului didactic,0.5647,86.0,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=275159864, tag=university)"
