ref_id,pred_id,matched,iou,boundary_rmse_m,hausdorff_m,centroid_disp_m,area_ref_m2,area_pred_m2,area_error_m2,area_error_pct,perimeter_ref_m,perimeter_pred_m,mean_angle_dev_deg,compliance_tier,error_flags
REF_TIER1_029,NONE (RATATA),False,0.0000,0.000,0.000,0.000,974.21,0.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_NEGATIVE_RATATA"
NONE (ARTEFACT),LIDAR_001,False,0.0000,0.000,0.000,0.000,0.00,15.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_002,False,0.0000,0.000,0.000,0.000,0.00,25.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_003,False,0.0000,0.000,0.000,0.000,0.00,52.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_004,False,0.0000,0.000,0.000,0.000,0.00,16.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_005,False,0.0000,0.000,0.000,0.000,0.00,65.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_006,False,0.0000,0.000,0.000,0.000,0.00,243.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_007,False,0.0000,0.000,0.000,0.000,0.00,129.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_008,False,0.0000,0.000,0.000,0.000,0.00,161.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_009,False,0.0000,0.000,0.000,0.000,0.00,263.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_010,False,0.0000,0.000,0.000,0.000,0.00,846.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_011,False,0.0000,0.000,0.000,0.000,0.00,41.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_012,False,0.0000,0.000,0.000,0.000,0.00,397.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_013,False,0.0000,0.000,0.000,0.000,0.00,144.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_014,False,0.0000,0.000,0.000,0.000,0.00,816.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_015,False,0.0000,0.000,0.000,0.000,0.00,488.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_016,False,0.0000,0.000,0.000,0.000,0.00,27.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_017,False,0.0000,0.000,0.000,0.000,0.00,33.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_018,False,0.0000,0.000,0.000,0.000,0.00,22.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_019,False,0.0000,0.000,0.000,0.000,0.00,62.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
